,network_type,noise,threshold,trust_min,trust_max,truth_fraction,mean_persistent,std_persistent
113,ER,0.05,0.9,0.6,0.8,0.5,0.14049999999999999,0.06614189292725149
114,ER,0.05,0.9,0.8,1.0,0.05,0.931,0.026438608132804554
115,ER,0.05,0.9,0.8,1.0,0.1,0.8554999999999999,0.03106042498099471
116,ER,0.05,0.9,0.8,1.0,0.2,0.589,0.1432096365472659
117,ER,0.05,0.9,0.8,1.0,0.3,0.1685,0.1822162177194994
118,ER,0.05,0.9,0.8,1.0,0.4,0.018,0.045343136195018535
119,ER,0.05,0.9,0.8,1.0,0.5,0.0035000000000000005,0.011521718621802915
120,ER,0.1,0.5,0.2,0.4,0.05,0.22200000000000006,0.03249615361854384
121,ER,0.1,0.5,0.2,0.4,0.1,0.24,0.029325756597230364
122,ER,0.1,0.5,0.2,0.4,0.2,0.27849999999999997,0.03636963018783666
123,ER,0.1,0.5,0.2,0.4,0.3,0.306,0.028354893757515643
124,ER,0.1,0.5,0.2,0.4,0.4,0.32599999999999996,0.02083266665599966
125,ER,0.1,0.5,0.2,0.4,0.5,0.32999999999999996,0.032557641192199414
126,ER,0.1,0.5,0.4,0.6,0.05,0.24200000000000005,0.03108054053584011
127,ER,0.1,0.5,0.4,0.6,0.1,0.253,0.033778691508109075
128,ER,0.1,0.5,0.4,0.6,0.2,0.29000000000000004,0.034351128074635334
129,ER,0.1,0.5,0.4,0.6,0.3,0.316,0.03693237062523877
130,ER,0.1,0.5,0.4,0.6,0.4,0.33499999999999996,0.03278719262151
131,ER,0.1,0.5,0.4,0.6,0.5,0.32849999999999996,0.03290516676754578
132,ER,0.1,0.5,0.6,0.8,0.05,0.46849999999999997,0.16859048015828176
133,ER,0.1,0.5,0.6,0.8,0.1,0.367,0.15352849898308782
134,ER,0.1,0.5,0.6,0.8,0.2,0.188,0.12742056348957181
135,ER,0.1,0.5,0.6,0.8,0.3,0.199,0.09699999999999999
136,ER,0.1,0.5,0.6,0.8,0.4,0.17,0.07974960814950754
137,ER,0.1,0.5,0.6,0.8,0.5,0.129,0.07892401408950257
138,ER,0.1,0.5,0.8,1.0,0.05,0.9335000000000001,0.01458595214581479
