network_type,noise,threshold,trust_min,trust_max,truth_fraction,baseline_50,baseline_100,degree_100,betweenness_100,baseline_50_std,baseline_100_std,degree_100_std,betweenness_100_std
BA,0.2,0.6,0.5,0.7,0.3,69,69,62,62,0,0,1,1
BA,0.2,0.6,0.5,0.7,0.5,48,48,43,43,1,1,1,1
BA,0.2,0.6,0.5,0.7,0.7,27,27,24,25,1,1,1,1
BA,0.2,0.6,0.7,0.9,0.1,89,89,79,79,0,0,1,1
BA,0.2,0.6,0.7,0.9,0.3,65,65,58,58,2,2,2,2
BA,0.2,0.6,0.7,0.9,0.5,37,37,33,32,6,6,5,5
BA,0.2,0.6,0.7,0.9,0.7,12,12,11,11,3,3,2,2
BA,0.2,0.7,0.1,0.3,0.1,29,29,28,28,5,5,5,5
BA,0.2,0.7,0.1,0.3,0.3,39,39,37,37,3,3,3,3
BA,0.2,0.7,0.1,0.3,0.5,37,37,33,33,2,2,3,3
BA,0.2,0.7,0.1,0.3,0.7,27,27,24,24,1,1,3,2
BA,0.2,0.7,0.3,0.5,0.1,58,58,52,52,5,5,5,6
BA,0.2,0.7,0.3,0.5,0.3,61,61,55,55,3,3,4,3
BA,0.2,0.7,0.3,0.5,0.5,47,47,42,42,1,1,2,2
BA,0.2,0.7,0.3,0.5,0.7,29,29,26,26,0,0,1,1
BA,0.2,0.7,0.5,0.7,0.1,90,90,79,80,0,0,1,1
BA,0.2,0.7,0.5,0.7,0.3,69,69,63,63,0,0,1,1
BA,0.2,0.7,0.5,0.7,0.5,48,48,43,43,0,0,1,1
BA,0.2,0.7,0.5,0.7,0.7,28,28,24,25,1,1,1,1
BA,0.2,0.7,0.7,0.9,0.1,89,89,78,78,0,0,1,1
BA,0.2,0.7,0.7,0.9,0.3,66,66,58,59,1,1,2,1
BA,0.2,0.7,0.7,0.9,0.5,39,39,35,35,4,4,3,4
BA,0.2,0.7,0.7,0.9,0.7,13,13,12,12,4,4,3,3
WS,0.05,0.5,0.1,0.3,0.1,27,27,29,28,2,2,3,3
WS,0.05,0.5,0.1,0.3,0.3,35,35,32,33,2,2,1,1
WS,0.05,0.5,0.1,0.3,0.5,34,34,31,31,2,2,3,2
WS,0.05,0.5,0.1,0.3,0.7,27,27,24,24,1,1,2,2
WS,0.05,0.5,0.3,0.5,0.1,54,54,49,48,3,3,4,3
WS,0.05,0.5,0.3,0.5,0.3,58,58,53,53,2,2,3,2
WS,0.05,0.5,0.3,0.5,0.5,48,48,43,42,1,1,2,1
WS,0.05,0.5,0.3,0.5,0.7,29,29,27,27,0,0,1,1
WS,0.05,0.5,0.5,0.7,0.1,90,90,80,81,0,0,0,0
WS,0.05,0.5,0.5,0.7,0.3,69,69,62,63,0,0,1,1
WS,0.05,0.5,0.5,0.7,0.5,48,48,43,43,0,0,1,1
WS,0.05,0.5,0.5,0.7,0.7,27,27,24,24,1,1,1,2
WS,0.05,0.5,0.7,0.9,0.1,89,89,80,80,0,0,1,0
WS,0.05,0.5,0.7,0.9,0.3,66,66,59,58,1,1,2,1
WS,0.05,0.5,0.7,0.9,0.5,37,37,33,34,3,3,3,3
WS,0.05,0.5,0.7,0.9,0.7,9,9,8,8,3,3,3,3
WS,0.05,0.6,0.1,0.3,0.1,26,26,29,30,3,3,2,2
WS,0.05,0.6,0.1,0.3,0.3,34,34,33,33,2,2,1,1
WS,0.05,0.6,0.1,0.3,0.5,35,35,31,32,2,2,3,3
WS,0.05,0.6,0.1,0.3,0.7,26,26,24,23,1,1,2,1
WS,0.05,0.6,0.3,0.5,0.1,58,58,53,53,4,4,4,5
